geo_level,geo_code,name,parent_code
village,63000010022,吉祥里,6300001
village,63000010024,新聚里,6300001
village,63000010025,復盛里,6300001
village,63000010026,中正里,6300001
village,63000010027,中崙里,6300001
village,63000010028,美仁里,6300001
village,63000010029,吉仁里,6300001
village,63000010030,敦化里,6300001
village,63000010031,復源里,6300001
village,63000010032,復建里,6300001
village,63000010033,復勢里,6300001
village,63000010034,福成里,6300001
village,63000010035,松基里,6300001
village,63000030001,德安里,6300003
village,63000030002,仁慈里,6300003
village,63000030003,和安里,6300003
village,63000030004,民炤里,6300003
village,63000030005,仁愛里,6300003
village,63000030006,義村里,6300003
village,63000030007,民輝里,6300003
village,63000030008,昌隆里,6300003
village,63000030009,誠安里,6300003
village,63000030010,光武里,6300003
village,63000030011,龍坡里,6300003
village,63000030012,龍泉里,6300003
village,63000030013,古風里,6300003
village,63000030014,古莊里,6300003
village,63000030015,龍安里,6300003
village,63000030016,錦安里,6300003
village,63000030017,福住里,6300003
village,63000030018,永康里,6300003
village,63000030019,光明里,6300003
village,63000030020,錦泰里,6300003
village,63000030021,錦華里,6300003
village,63000030022,龍圖里,6300003
village,63000030023,新龍里,6300003
village,63000030026,龍陣里,6300003
village,63000030027,龍雲里,6300003
village,63000030028,龍生里,6300003
village,63000030029,住安里,6300003
village,63000030030,義安里,6300003
village,63000030031,通化里,6300003
village,63000030032,通安里,6300003
village,63000030033,臨江里,6300003
village,63000030034,法治里,6300003
village,63000030035,全安里,6300003
village,63000030036,群賢里,6300003
village,63000030037,群英里,6300003
village,63000030038,虎嘯里,6300003
village,63000030039,臥龍里,6300003
village,63000030040,龍淵里,6300003
village,63000030041,龍門里,6300003
village,63000030043,大學里,6300003
village,63000030044,芳和里,6300003
village,63000030046,黎元里,6300003
village,63000030047,黎孝里,6300003
village,63000030048,黎和里,6300003
village,63000030049,建安里,6300003
village,63000030050,建倫里,6300003
village,63000030051,敦安里,6300003
village,63000030052,正聲里,6300003
village,63000030053,敦煌里,6300003
village,63000030054,華聲里,6300003
village,63000030055,車層里,6300003
village,63000030056,光信里,6300003
village,63000030057,學府里,6300003
village,63000050001,水源里,6300005
village,63000050002,富水里,6300005
village,63000050003,文盛里,6300005
village,63000050004,林興里,6300005
village,63000050005,河堤里,6300005
village,63000050006,頂東里,6300005
village,63000050007,網溪里,6300005
village,63000050008,板溪里,6300005
village,63000050009,螢圃里,6300005
village,63000050010,螢雪里,6300005
village,63000050011,永功里,6300005
village,63000050012,永昌里,6300005
village,63000050013,龍興里,6300005
village,63000050014,忠勤里,6300005
village,63000050015,廈安里,6300005
village,63000050016,愛國里,6300005
village,63000050017,南門里,6300005
village,63000050018,龍光里,6300005
village,63000050019,南福里,6300005
village,63000050020,龍福里,6300005
village,63000050021,新營里,6300005
village,63000050022,建國里,6300005
village,63000050023,光復里,6300005
village,63000050024,黎明里,6300005
village,63000050025,梅花里,6300005
village,63000050026,幸福里,6300005
village,63000050027,幸市里,6300005
village,63000050028,東門里,6300005
village,63000050029,文北里,6300005
village,63000050030,文祥里,6300005
village,63000050031,三愛里,6300005
village,63000070001,福星里,6300007
village,63000070002,萬壽里,6300007
village,63000070003,西門里,6300007
village,63000070004,新起里,6300007
village,63000070005,菜園里,6300007
village,63000070006,青山里,6300007
village,63000070007,富民里,6300007
village,63000070008,福音里,6300007
village,63000070009,仁德里,6300007
village,63000070010,富福里,6300007
village,63000070011,頂碩里,6300007
village,63000070012,雙園里,6300007
village,63000070013,新忠里,6300007
village,63000070014,新和里,6300007
village,63000070015,糖廍里,6300007
village,63000070016,和平里,6300007
village,63000070017,綠堤里,6300007
village,63000070018,華江里,6300007
village,63000070019,柳鄉里,6300007
village,63000070020,日善里,6300007
village,63000070021,新安里,6300007
village,63000070022,忠德里,6300007
village,63000070023,孝德里,6300007
village,63000070024,和德里,6300007
village,63000070025,錦德里,6300007
village,63000070026,全德里,6300007
village,63000070027,保德里,6300007
village,63000070028,銘德里,6300007
village,63000070029,榮德里,6300007
village,63000070030,壽德里,6300007
village,63000070031,興德里,6300007
village,63000070032,華中里,6300007
village,63000070033,日祥里,6300007
village,63000070034,忠貞里,6300007
village,63000070035,凌霄里,6300007
village,63000070036,騰雲里,6300007
village,63000060001,玉泉里,6300006
village,63000060002,建明里,6300006
village,63000060003,建功里,6300006
village,63000060004,建泰里,6300006
village,63000060005,永樂里,6300006
village,63000060006,朝陽里,6300006
village,63000060007,星明里,6300006
village,63000060008,光能里,6300006
village,63000060009,大有里,6300006
village,63000060010,延平里,6300006
village,63000060011,雙連里,6300006
village,63000060012,南芳里,6300006
village,63000060013,民權里,6300006
village,63000060014,景星里,6300006
village,63000060015,隆和里,6300006
village,63000060016,蓬萊里,6300006
village,63000060017,國順里,6300006
village,63000060018,國慶里,6300006
village,63000060019,揚雅里,6300006
village,63000060020,斯文里,6300006
village,63000060021,鄰江里,6300006
village,63000060022,至聖里,6300006
village,63000060024,老師里,6300006
village,63000060025,重慶里,6300006
village,63000060026,保安里,6300006
village,63000040001,正守里,6300004
village,63000040002,正義里,6300004
village,63000040003,正得里,6300004
village,63000040004,民安里,6300004
village,63000040005,康樂里,6300004
village,63000040006,中山里,6300004
village,63000040007,聚盛里,6300004
village,63000040008,集英里,6300004
village,63000040009,聚葉里,6300004
village,63000040010,恆安里,6300004
village,63000040011,晴光里,6300004
village,63000040012,圓山里,6300004
village,63000040013,劍潭里,6300004
village,63000040014,大直里,6300004
village,63000040015,成功里,6300004
village,63000040016,永安里,6300004
